,name,city,postal_code,latitude,longitude,nearest_college,college_lat,college_lng,distance (mi),distance (bin)
123,5 Seasons Brewing Co - Prado,Sandy Springs,30342-1150,33.9078086,-84.3796711,Emory University,33.7971368,-84.32224,8.31200397826526,5-10
124,5 Seasons Brewing Co - Westside,Atlanta,30318-0683,33.9069346,-84.3801701,Emory University,33.7971368,-84.32224,8.268284813805979,5-10
179,Abide Brewing Company,Newnan,30263-5802,33.40257035,-84.76356641,University of West Georgia,33.5718249,-85.1032441,22.82190490119542,20-25
222,Akademia Brewing Company,Athens,30606-0600,33.94270289,-83.47153754,University of Georgia,33.9480053,-83.3773221,5.424246497925267,5-10
381,Arches Brewing,Hapeville,30354-1439,33.6626806,-84.4095107,Georgia State University,33.753068,-84.38528190000001,6.383977212141852,5-10
1047,BlueTarp Brewing Co,Decatur,30030-5365,33.7740425,-84.28356219999999,Emory University,33.7971368,-84.32224,2.7364206751473534,<5
1433,Burnt Hickory Brewery,Kennesaw,30144-5653,34.0337135,-84.61663879999999,Kennesaw State University,34.0381785,-84.5826712,1.9732425571693846,<5
1490,Cannon Brewpub,Columbus,31901-5256,32.4663515,-84.9937114,Columbus State University,32.5026472,-84.9404306,3.9923295752884775,<5
1624,Chattabrewchee Southern Brewhouse,West Point,31833-1506,32.87625763,-85.18536152,Columbus State University,32.5026472,-84.9404306,29.436762132504157,25-30
1638,Cherokee Brewing + Pizza Company,Dalton,30720,34.76976664,-84.96940721,Kennesaw State University,34.0381785,-84.5826712,55.055295343394995,>30
1726,Coastal Empire Beer Co,Savannah,31405-1660,32.0517478,-81.1239951,Savannah College of Art and Design,32.0691097,-81.0938141,2.137113403587463,<5
1962,Currahee Brewing Company,Alpharetta,30009,34.0711104,-84.29678259999999,Kennesaw State University,34.0381785,-84.5826712,16.557303908592363,15-20
2248,Dry County Brewing Company,Kennesaw,30144,34.0215778,-84.59375279999999,Kennesaw State University,34.0381785,-84.5826712,1.3090332467892327,<5
2294,Eagle Creek Brewing Company,Statesboro,30458-7162,32.4480667,-81.77988429999999,Georgia Southern University,32.42054890000001,-81.78653469999999,1.935574429803345,<5
2456,Eventide Brewing Co,Atlanta,30315-2014,33.72670205,-84.37706291,Georgia State University,33.753068,-84.38528190000001,1.8777822632827712,<5
2498,Fannin Brewing,Blue Ridge,30513-4514,34.87142613,-84.31707477,University of North Georgia,34.5278618,-83.9844416,30.322699868227378,>30
2804,From The Earth Brewing Company,Roswell,30076,34.0197289,-84.3128428,Emory University,33.7971368,-84.32224,15.351205331805161,15-20
2869,Gate City Brewing Company,Roswell,30075-4289,34.02293426,-84.36395307,Kennesaw State University,34.0381785,-84.5826712,12.594970087905589,10-15
2966,Good Word Brewing & Public House,Duluth,30096-3261,34.0032136,-84.1441863,Emory University,33.7971368,-84.32224,17.505822674768446,15-20
2976,Gordon Biersch Brewery Restaurant - Atlanta,Atlanta,30305-2425,33.8503143,-84.3620936,Emory University,33.7971368,-84.32224,4.323031871615388,<5
3185,Grumpy Old Men Brewing,Blue Ridge,30513-8506,34.85747136,-84.33050832,University of North Georgia,34.5278618,-83.9844416,30.073966595204737,>30
3514,Hopstix,Chamblee,30341-2444,33.890621,-84.303167,Emory University,33.7971368,-84.32224,6.535840142858013,5-10
3696,Ironmonger Brewing,Marietta,30067-9223,33.91959382,-84.48696353,Kennesaw State University,34.0381785,-84.5826712,9.849015668961608,5-10
3741,Jailhouse Brewing Co,Hampton,30228-5575,33.387534,-84.282374,Georgia State University,33.753068,-84.38528190000001,25.882426779859305,25-30
3758,Jekyll Brewing,Alpharetta,30005-2051,34.081656200000005,-84.2536638,Kennesaw State University,34.0381785,-84.5826712,19.109892528091518,15-20
3776,"Johnnie MacCracken's Celtic Firehouse Pub, Inc.",Marietta,30060-1985,33.937128200000004,-84.5417592,Kennesaw State University,34.0381785,-84.5826712,7.350198942654145,5-10
4063,Left Nut Brewing Co,Gainesville,30504-7168,34.25442345,-83.84759634,University of North Georgia,34.5278618,-83.9844416,20.405337933571307,20-25
4128,Line Creek Brewing,Peachtree City,30269,33.3901533,-84.5889182,Georgia State University,33.753068,-84.38528190000001,27.63344315905442,25-30
4451,Max Lager's Wood Fired Grill & Brewery,Atlanta,30308-3210,33.76333225,-84.38706074,Georgia State University,33.753068,-84.38528190000001,0.71479835609439,<5
4647,Monday Night Brewing,Atlanta,30318-4230,33.79480405,-84.40989212,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,1.5368198567104037,<5
4648,Monday Night Brewing - Garage,Atlanta,30310,33.72906429,-84.41617724,Georgia State University,33.753068,-84.38528190000001,2.4292921048811107,<5
4671,Moon River Brewing Co,Savannah,31401-1106,32.08098573,-81.09178578,Savannah College of Art and Design,32.0691097,-81.0938141,0.8268973601829973,<5
4831,New Realm Brewing,Atlanta,30306-4317,33.7689733,-84.36196439999999,Georgia State University,33.753068,-84.38528190000001,1.7330349381938495,<5
4996,Ocmulgee Brewpub,Macon,31201-2734,32.8360763,-83.62932833,Mercer University,32.8288186,-83.64977689999999,1.2905232265721405,<5
4997,Oconee Brewing Company,Greensboro,30642-1124,33.5777497,-83.1843738,University of Georgia,33.9480053,-83.3773221,27.830861199155905,25-30
5104,Omaha Brewing Company,Omaha,31821-2258,32.1418614,-85.0012272,Columbus State University,32.5026472,-84.9404306,25.113283361990653,25-30
5153,Orpheus Brewing,Atlanta,30324-5366,33.79314935,-84.36858051,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,2.000518093382048,<5
5259,Park Tavern Brewery,Atlanta,30309-4272,33.781867,-84.37774399999999,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,1.150744683939876,<5
5338,Phantom Horse Brewing,Rock Spring,30739,34.8515606,-85.2511882,Kennesaw State University,34.0381785,-84.5826712,67.82795278277996,>30
5346,Piedmont Brewery and Kitchen,Macon,31201,32.8346314,-83.6275684,Mercer University,32.8288186,-83.64977689999999,1.3527380019454172,<5
5438,Pontoon Brewing Company,Sandy Springs,30350-2551,33.9917909,-84.34469849999999,Emory University,33.7971368,-84.32224,13.478059212075665,10-15
5452,Porter Pizza & Brewery,Sandy Springs,30339,33.9043481,-84.43042390000001,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,9.087024519480622,5-10
5484,Pretoria Fields Collective,Albany,31701-2529,31.57858294,-84.14959300000001,Valdosta State University,30.8465653,-83.29002340000001,71.64958714254007,>30
5488,Printer's Ale Manufacturing Co.,Carrollton,30117-8780,33.61138945,-85.10249657,University of West Georgia,33.5718249,-85.1032441,2.7271061195229014,<5
5641,Red Brick Brewing Co / Atlanta Brewing Co,Atlanta,30318-2207,33.81830375,-84.43454138,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,3.674389696178721,<5
5652,Red Hare Brewing Company,Marietta,30067-8904,33.92440825,-84.4957563,Kennesaw State University,34.0381785,-84.5826712,9.294806628000003,5-10
5687,Reformation Brewery,Woodstock,30188-6842,34.0999564,-84.5205452,Kennesaw State University,34.0381785,-84.5826712,5.552395718590945,5-10
5732,Rick Tanner's Grille & Bar/Cherry Street Brewing Cooperative,Cumming,30040-0301,34.1822437,-84.2189528,Kennesaw State University,34.0381785,-84.5826712,23.095854935991078,20-25
5798,Riverwatch Brewery,Augusta,30901-5861,33.4605712,-81.9622004,Georgia Regents University,33.4692335,-81.98836229999999,1.624827566028431,<5
5886,Rome City Brewing Co,Rome,30161-3005,34.25410398,-85.17262231,Kennesaw State University,34.0381785,-84.5826712,36.93892773218965,>30
6064,Savannah River Brewing Company,Augusta,30901-2414,33.46534536,-81.96288082,Georgia Regents University,33.4692335,-81.98836229999999,1.496032100659678,<5
6091,Scofflaw Brewing Co,Atlanta,30318-2022,33.8134827,-84.4446926,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,3.8170317563366103,<5
6125,Second Self Brewing,Atlanta,30318-2858,33.8055922,-84.43006194,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,2.836532898294012,<5
6147,Service Brewing Company,Savannah,31401-1121,32.0839717,-81.09827829999999,Savannah College of Art and Design,32.0691097,-81.0938141,1.0569921919208958,<5
6288,Slow Pour Brewing Company,Lawrenceville,30046-4818,33.96116747,-83.98889581,Emory University,33.7971368,-84.32224,22.249114041517426,20-25
6390,Southbound Brewing Co,Savannah,31415-2182,32.087032,-81.111372,Savannah College of Art and Design,32.0691097,-81.0938141,1.6080904895171664,<5
6394,Southern Brewing Company,Athens,30601-1517,33.98114012,-83.35002287,University of Georgia,33.9480053,-83.3773221,2.77010960576586,<5
6406,Southern Sky Brewing Co,Kennesaw,30144-3636,34.0056168,-84.5975311,Kennesaw State University,34.0381785,-84.5826712,2.4008610848220178,<5
6502,Stats Brewpub,Atlanta,30313-1632,33.7615549,-84.3964736,Georgia State University,33.753068,-84.38528190000001,0.8701964458627132,<5
6600,Strawn Brewing Co,Fairburn,30213-1545,33.56062198,-84.58368873,Georgia State University,33.753068,-84.38528190000001,17.51231262581676,15-20
6956,The Village Corner,Stone Mountain,30083-2232,33.811494,-84.17075799999999,Emory University,33.7971368,-84.32224,8.771741555981212,5-10
6961,The Woodlands At SweetWater,Atlanta,30324-3924,33.8089645,-84.3800352,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,2.4812529459312724,<5
6962,The Wrecking Bar Brewpub,Atlanta,30307-1953,33.762309,-84.3496422,Georgia State University,33.753068,-84.38528190000001,2.148278870599407,<5
7029,Three Taverns Craft Brewery,Decatur,30030-4131,33.77305517,-84.28488078,Emory University,33.7971368,-84.32224,2.7161097436528467,<5
7100,Torched Hop Brewing Company,Atlanta,30308-1937,33.77232605,-84.37929776,Georgia Institute of Technology-Main Campus,33.7756178,-84.39628499999999,1.0037084292668612,<5
7197,Tucker Brewing Company,Tucker,30084-6240,33.84269209,-84.20758809,Emory University,33.7971368,-84.32224,7.30468358384378,5-10
7223,Twain's Brewpub & Billiards,Decatur,30030-3414,33.77228,-84.294616,Emory University,33.7971368,-84.32224,2.3371479475994086,<5
7274,Two Tides Brewing Company,Savannah,31401,32.054127,-81.10216092,Savannah College of Art and Design,32.0691097,-81.0938141,1.1426291836741624,<5
7384,Variant Brewing Company,Roswell,30075-3866,34.02576775,-84.35907858,Kennesaw State University,34.0381785,-84.5826712,12.859058322862886,10-15
7625,Wild Heaven Craft Beers,Decatur,30030-3953,33.7764514,-84.27570589999999,Emory University,33.7971368,-84.32224,3.0338076225710067,<5
7627,Wild Leap Brewing Company,Lagrange,30240-4504,33.037368,-85.0311916,University of West Georgia,33.5718249,-85.1032441,37.06799576001267,>30
